,host_response_time,host_response_rate,host_is_superhost,host_listings_count,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,is_business_travel_ready,cancellation_policy,ano,mes
'host_response_time','host_response_rate','host_is_superhost','host_listings_count','latitude','longitude','property_type','room_type','accommodates','bathrooms','bedrooms','beds','bed_type','amenities','price','security_deposit','cleaning_fee','guests_included','extra_people','minimum_nights','maximum_nights','number_of_reviews','review_scores_rating','review_scores_accuracy','review_scores_cleanliness','review_scores_checkin','review_scores_communication','review_scores_location','review_scores_value','instant_bookable','is_business_travel_ready','cancellation_policy','ano','mes','host_response_time'
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,within a day,100%,f,2.0,-22.930459638444702,-43.174499045394604,Apartment,Entire home/apt,6,2.0,4.0,4.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,Elevator,Heating,""Family/kid friendly"",Washer,""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private living room"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Pocket wifi"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Host greets you"",Beachfront}",$814.00,$633.00,$226.00,5,$127.00,7,365,8,94.0,10.0,10.0,10.0,10.0,10.0,9.0,f,f,strict_14_with_grace_period,2018,7
,,,f,3.0,-22.98021389833303,-43.20232434530234,Apartment,Entire home/apt,4,3.0,2.0,5.0,Real Bed,"{TV,""Cable TV"",Internet,""Air conditioning"",Kitchen,Doorman,Elevator,""Family/kid friendly"",Washer,Dryer}",$1,472.00,,,1,$0.00,2,30,0,,,,,,,,f,f,flexible,2018
,within an hour,100%,f,7.0,-22.986233139187803,-43.20352791940845,Serviced apartment,Entire home/apt,6,3.0,3.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Breakfast,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed"",""Paid parking on premises""}",$1,856.00,$2,262.00,$226.00,3,$136.00,2,89,49,87.0,8.0,9.0,9.0,9.0,10.0,8.0,t,f,strict_14_with_grace_period
,within a few hours,100%,f,1.0,-22.928729120200288,-43.17472526005519,Apartment,Entire home/apt,4,2.0,3.0,4.0,Real Bed,"{TV,Internet,Wifi,""Wheelchair accessible"",Kitchen,""Paid parking off premises"",""Pets allowed"",Doorman,Elevator,""Free street parking"",""Buzzer/wireless intercom"",Washer,Dryer,Essentials,Shampoo,Hangers,Iron,""Laptop friendly workspace"",""High chair"",""Hot water"",Other}",$260.00,,$150.00,1,$0.00,4,60,1,80.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,strict_14_with_grace_period,2018,7
,within an hour,100%,t,3.0,-22.982817069184243,-43.19571177528839,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$151.00,,,2,$46.00,3,89,128,98.0,10.0,10.0,10.0,10.0,10.0,10.0,t,f,strict_14_with_grace_period,2018,7
,,,f,1.0,-22.984982857327967,-43.19135454377816,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",""Private entrance""}",$112.00,$581.00,$58.00,1,$39.00,1,365,79,93.0,10.0,9.0,10.0,10.0,10.0,9.0,f,f,strict_14_with_grace_period,2018,7
,within an hour,100%,f,10.0,-22.945083234481626,-43.18162271107678,Apartment,Entire home/apt,4,1.0,0.0,2.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Pets allowed"",Doorman,Elevator,""Family/kid friendly"",Essentials,Hangers,Iron,""Laptop friendly workspace""}",$178.00,$0.00,$113.00,2,$113.00,3,365,70,86.0,9.0,8.0,9.0,9.0,9.0,9.0,t,f,strict_14_with_grace_period,2018,7
,within an hour,100%,t,5.0,-22.98630130756574,-43.19707824115814,Serviced apartment,Entire home/apt,5,1.0,1.0,4.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Babysitter recommendations"",""Pack ’n Play/travel crib"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed""}",$349.00,$387.00,$108.00,2,$19.00,1,420,244,95.0,10.0,10.0,10.0,10.0,10.0,9.0,t,f,strict_14_with_grace_period,2018,7
,,,f,1.0,-22.98448796128208,-43.23067691137379,Apartment,Private room,2,1.0,1.0,2.0,Pull-out Sofa,"{Wifi,""Free parking on premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$465.00,$387.00,$58.00,1,$0.00,2,8,13,86.0,9.0,10.0,10.0,9.0,10.0,7.0,f,f,strict_14_with_grace_period,2018,7
,within a day,100%,f,1.0,-22.98490375114116,-43.19538874348202,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Elevator,Heating,""Smoke detector"",Essentials,Hangers,""Hair dryer"",""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Luggage dropoff allowed"",""Long term stays allowed"",""Well-lit path to entrance"",""Host greets you"",""Paid parking on premises""}",$291.00,$1,162.00,$174.00,2,$775.00,2,120,12,97.0,9.0,10.0,10.0,10.0,10.0,9.0,f,f,strict_14_with_grace_period,2018
,,,f,2.0,-22.985087803450085,-43.30055768107104,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Wifi,""Air conditioning"",Pool,""Free parking on premises"",""Smoking allowed"",Doorman,""Pets live on this property"",Dog(s),Washer,Essentials,""Hair dryer"",Iron}",$201.00,,$50.00,2,$0.00,2,120,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,strict_14_with_grace_period,2018,7
,within a few hours,87%,f,8.0,-22.981519259702555,-43.19018479326135,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,Essentials,""24-hour check-in"",Hangers,""Hair dryer"",""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Hot water"",""Long term stays allowed""}",$108.00,$0.00,$100.00,2,$188.00,4,1125,5,88.0,10.0,10.0,10.0,10.0,9.0,9.0,t,f,strict_14_with_grace_period,2018,7
,,,f,1.0,-22.982383750259697,-43.19366318041831,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Host greets you""}",$345.00,,,4,$387.00,5,180,84,96.0,10.0,10.0,10.0,10.0,10.0,10.0,t,f,strict_14_with_grace_period,2018,7
,within an hour,100%,f,1.0,-22.98118716565726,-43.19372670447497,Apartment,Entire home/apt,12,4.0,4.0,8.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Hangers,Iron,""Laptop friendly workspace"",""Bed linens"",Microwave,Refrigerator,""Dishes and silverware"",Oven,Stove}",$407.00,$2,262.00,$407.00,6,$81.00,2,365,103,86.0,9.0,9.0,10.0,10.0,9.0,9.0,t,f,strict_14_with_grace_period,2018
,within a few hours,100%,t,7.0,-22.928748692491084,-43.19341175995508,Bed and breakfast,Private room,16,5.0,7.0,10.0,Real Bed,"{Internet,Wifi,""Wheelchair accessible"",Pool,Kitchen,""Smoking allowed"",Breakfast,""Pets live on this property"",Cat(s),""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""First aid kit"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Luggage dropoff allowed"",""Long term stays allowed"",""Wide doorway"",""Step-free access"",""Wide clearance to bed"",""Step-free access"",""Wide entryway""}",$182.00,,,2,$45.00,1,30,168,95.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,moderate,2018,7
,,,f,1.0,-22.976775053963973,-43.192082152445366,Apartment,Private room,2,1.5,1.0,1.0,Real Bed,"{TV,Internet,Wifi,Kitchen,Elevator,""Family/kid friendly"",Washer}",$201.00,,$150.00,1,$200.00,2,6,5,80.0,8.0,8.0,10.0,9.0,10.0,9.0,f,f,moderate,2018,7
,,,f,2.0,-22.91788629684083,-43.18059101849662,Villa,Private room,2,1.0,1.0,1.0,Real Bed,"{Wifi,""Air conditioning"",Breakfast,""Pets live on this property"",Dog(s),""Free street parking"",""Buzzer/wireless intercom"",Washer,Dryer,""First aid kit"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""Private entrance"",""Hot water"",""Luggage dropoff allowed"",""Host greets you""}",$399.00,,,1,$0.00,2,10,0,,,,,,,,f,f,strict_14_with_grace_period,2018,7
,within a few hours,100%,t,3.0,-22.91431201768764,-43.18884415499858,Apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,"{Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Family/kid friendly"",Essentials,""24-hour check-in"",Hangers,""translation missing: en.hosting_amenity_50"",""Self check-in"",Lockbox,""Hot water"",""Long term stays allowed""}",$70.00,$0.00,$140.00,2,$50.00,2,365,76,95.0,10.0,9.0,10.0,10.0,8.0,9.0,t,f,strict_14_with_grace_period,2018,7
