,host_response_time,host_response_rate,host_is_superhost,host_listings_count,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,is_business_travel_ready,cancellation_policy,ano,mes
'host_response_time','host_response_rate','host_is_superhost','host_listings_count','latitude','longitude','property_type','room_type','accommodates','bathrooms','bedrooms','beds','bed_type','amenities','price','security_deposit','cleaning_fee','guests_included','extra_people','minimum_nights','maximum_nights','number_of_reviews','review_scores_rating','review_scores_accuracy','review_scores_cleanliness','review_scores_checkin','review_scores_communication','review_scores_location','review_scores_value','instant_bookable','is_business_travel_ready','cancellation_policy','ano','mes','host_response_time'
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,within an hour,100%,f,3.0,-22.943746217577928,-43.20534804149859,Guest suite,Entire home/apt,3,1.0,1.0,2.0,Real Bed,"{Wifi,""Free parking on premises"",""Smoking allowed"",""Pets live on this property"",Dog(s),Essentials,Shampoo,Hangers,""Hair dryer"",""Hot water"",""Bed linens"",Microwave,""Coffee maker"",""Dishes and silverware"",""Garden or backyard"",""Luggage dropoff allowed"",""Host greets you""}",$112.00,,$50.00,2,$78.00,3,30,57,90.0,9.0,9.0,10.0,10.0,8.0,9.0,f,f,strict_14_with_grace_period,2018,7
,,,f,2.0,-22.914807224490048,-43.19154951644465,Apartment,Private room,3,2.0,1.0,1.0,Pull-out Sofa,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""Suitable for events"",Washer,""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron}",$116.00,$581.00,$194.00,1,$77.00,4,25,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,strict_14_with_grace_period,2018,7
,within a day,100%,t,1.0,-23.010899963316383,-43.3691800210698,Apartment,Entire home/apt,7,2.0,2.0,6.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Pool,Kitchen,""Free parking on premises"",Doorman,Gym,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""Safety card"",Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Self check-in"",""Building staff""}",$701.00,$500.00,$100.00,4,$50.00,3,15,86,96.0,10.0,9.0,10.0,10.0,10.0,9.0,t,f,strict_14_with_grace_period,2018,7
,within an hour,100%,f,2.0,-22.982407242907584,-43.197555165402754,Apartment,Entire home/apt,11,3.0,2.0,4.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Smoking allowed"",Doorman,""Hot tub"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",Bathtub,""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Pocket wifi"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you"",Beachfront}",$601.00,$1,500.00,$200.00,1,$70.00,3,90,23,86.0,8.0,8.0,9.0,9.0,9.0,8.0,f,f,strict_14_with_grace_period,2018
,within an hour,100%,f,5.0,-22.98259387681506,-43.19850179251668,Apartment,Entire home/apt,10,3.0,2.0,3.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,Elevator,""Hot tub"",""Family/kid friendly"",Washer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens""}",$240.00,,$232.00,2,$116.00,2,1125,133,87.0,9.0,9.0,9.0,9.0,9.0,9.0,t,f,strict_14_with_grace_period,2018,7
,,,f,4.0,-22.96362001443652,-43.176012677363126,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,"{TV,Internet,""Air conditioning"",Doorman,Elevator,""Buzzer/wireless intercom""}",$310.00,,,1,$0.00,1,30,35,93.0,10.0,9.0,10.0,10.0,10.0,9.0,f,f,strict_14_with_grace_period,2018,7
,within a few hours,100%,f,2.0,-22.982893033886416,-43.20890527211108,Apartment,Entire home/apt,3,1.0,1.0,3.0,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Pool,Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",Washer,Dryer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Extra pillows and blankets""}",$349.00,$349.00,$0.00,1,$0.00,5,100,8,100.0,10.0,10.0,10.0,10.0,10.0,9.0,f,f,strict_14_with_grace_period,2018,7
,within a day,100%,f,8.0,-22.997773347150527,-43.385097467692994,House,Shared room,16,3.0,1.0,3.0,Real Bed,"{Wifi,Kitchen,""Free parking on premises"",Breakfast,Essentials}",$74.00,,,1,$65.00,2,1125,12,93.0,9.0,9.0,9.0,9.0,9.0,9.0,f,f,strict_14_with_grace_period,2018,7
,,,f,1.0,-22.96315171588574,-43.16938613876024,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,"{Internet,Wifi,""Air conditioning"",Doorman,Elevator,""Buzzer/wireless intercom"",Heating,""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Pocket wifi""}",$139.00,$0.00,$70.00,1,$0.00,2,10,14,91.0,9.0,10.0,10.0,10.0,10.0,9.0,f,f,strict_14_with_grace_period,2018,7
,,,f,3.0,-22.91419493769418,-43.18285415010404,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{""Cable TV"",Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer}",$298.00,,$120.00,1,$0.00,5,365,3,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,strict_14_with_grace_period,2018,7
,,,f,2.0,-22.96836852517198,-43.18255076131084,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{""Cable TV"",Internet,Wifi,""Air conditioning"",""Smoking allowed"",Doorman,""Pets live on this property"",Dog(s),Cat(s),Elevator,""Buzzer/wireless intercom""}",$213.00,$300.00,$80.00,1,$0.00,10,1125,0,,,,,,,,f,f,strict_14_with_grace_period,2018,7
,within an hour,100%,f,3.0,-22.955784578070457,-43.19387141730748,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,"{TV,Internet,Wifi,Kitchen,""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",Washer,Essentials,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Hot water"",""Host greets you""}",$39.00,$0.00,$120.00,1,$35.00,4,30,39,94.0,9.0,9.0,10.0,10.0,9.0,9.0,t,f,moderate,2018,7
,within a day,70%,f,2.0,-22.980939022893384,-43.19165868896571,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Smoking allowed"",Doorman,""Pets live on this property"",Dog(s),Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",$97.00,$300.00,$40.00,1,$40.00,3,1125,109,96.0,10.0,9.0,10.0,10.0,10.0,9.0,t,f,strict_14_with_grace_period,2018,7
,,,f,2.0,-22.9636854315791,-43.40186344637244,Apartment,Entire home/apt,8,2.0,3.0,3.0,Real Bed,"{TV,""Cable TV"",""Wheelchair accessible"",Pool,Kitchen,""Free parking on premises"",Doorman,Gym,""Pets live on this property"",Dog(s),Cat(s),Elevator,""Buzzer/wireless intercom""}",$252.00,,,1,$350.00,7,1125,0,,,,,,,,f,f,flexible,2018,7
,,,f,1.0,-22.98672785972597,-43.19772498059087,Condominium,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,Elevator,""Free street parking"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",""Laptop friendly workspace"",""High chair"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",$159.00,$400.00,$70.00,2,$60.00,2,40,169,95.0,10.0,10.0,10.0,9.0,10.0,9.0,t,f,moderate,2018,7
,,,f,1.0,-22.95960822103797,-43.20447762467022,Apartment,Private room,3,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Doorman,Gym,Elevator,""Buzzer/wireless intercom"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$500.00,$500.00,$100.00,1,$100.00,1,1125,0,,,,,,,,f,f,flexible,2018,7
,,,f,1.0,-23.01069304603234,-43.328806856241954,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Pool,Kitchen,""Free parking on premises"",Doorman,Gym,Elevator,""Buzzer/wireless intercom"",Washer,Dryer,Essentials}",$849.00,$1,300.00,$81.00,1,$0.00,5,90,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,strict_14_with_grace_period,2018
,,,f,1.0,-22.91401195586049,-43.18731532152543,Apartment,Entire home/apt,2,1.0,1.0,4.0,Real Bed,"{TV,Internet,Wifi,""Wheelchair accessible"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",Washer}",$151.00,$500.00,$80.00,1,$60.00,2,30,1,,,,,,,,f,f,moderate,2018,7
,within a few hours,90%,f,5.0,-22.965318269263552,-43.18012924818844,Apartment,Entire home/apt,6,2.0,3.0,6.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""Suitable for events"",Washer,Essentials}",$209.00,$500.00,$150.00,6,$0.00,3,365,30,94.0,10.0,9.0,10.0,10.0,10.0,9.0,f,f,strict_14_with_grace_period,2018,7
,within an hour,96%,f,22.0,-22.91071183158556,-43.18474042013294,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Self check-in"",Lockbox,""Hot water"",""Bed linens""}",$81.00,$372.00,$60.00,2,$0.00,2,60,53,91.0,10.0,9.0,10.0,9.0,9.0,9.0,t,f,strict_14_with_grace_period,2018,7
,within a few hours,100%,t,7.0,-22.928947760323613,-43.194271259514665,House,Private room,3,1.0,1.0,2.0,Real Bed,"{Internet,Wifi,""Wheelchair accessible"",Pool,Kitchen,""Smoking allowed"",Breakfast,""Pets live on this property"",Cat(s),""Family/kid friendly"",""Suitable for events"",Washer,Dryer,Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony""}",$248.00,,,3,$45.00,1,30,45,96.0,9.0,9.0,10.0,10.0,9.0,10.0,f,f,moderate,2018,7
,within an hour,100%,t,1.0,-23.01301035179045,-43.3132371205932,Apartment,Entire home/apt,7,2.0,3.0,5.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Pool,Kitchen,""Free parking on premises"",Doorman,Gym,Elevator,""Hot tub"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,""Safety card"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Window guards"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Long term stays allowed"",""Wide hallway clearance"",""Step-free access"",""Wide doorway"",""Flat path to front door"",""Well-lit path to entrance"",""Step-free access"",""Wide doorway"",""Wide clearance to bed"",""Accessible-height bed"",""Firm mattress"",""Step-free access"",""Step-free access"",""Wide entryway"",Beachfront}",$349.00,$700.00,$250.00,6,$70.00,2,60,41,96.0,10.0,9.0,10.0,10.0,10.0,9.0,f,f,strict_14_with_grace_period,2018,7
,,,f,1.0,-22.959239041601784,-43.35666576966915,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Elevator,""Family/kid friendly"",Washer,""Fire extinguisher"",Essentials,Shampoo}",$899.00,,,1,$0.00,1,1125,0,,,,,,,,f,f,flexible,2018,7
,within a few hours,100%,f,3.0,-22.983762512756112,-43.21814626639375,Serviced apartment,Entire home/apt,7,2.0,2.0,7.0,Couch,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Pool,Kitchen,Doorman,Gym,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Hangers,""Laptop friendly workspace"",Crib,""Hot water"",""Luggage dropoff allowed"",Other,""Paid parking on premises""}",$329.00,$1,500.00,$200.00,6,$50.00,2,30,8,83.0,8.0,9.0,8.0,8.0,10.0,8.0,f,f,strict_14_with_grace_period,2018
,within a few hours,100%,f,3.0,-22.97300693426494,-43.22605573397671,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""Suitable for events"",Washer,""Fire extinguisher"",Essentials,""translation missing: en.hosting_amenity_50""}",$97.00,$400.00,$130.00,3,$0.00,5,60,2,80.0,9.0,7.0,10.0,10.0,10.0,8.0,f,f,strict_14_with_grace_period,2018,7
,within a day,100%,f,2.0,-22.981557796887,-43.20011514946523,Apartment,Entire home/apt,8,2.5,3.0,8.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Pets allowed"",Doorman,Elevator,""Free street parking"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Wide hallway clearance"",""Step-free access"",""Wide doorway"",""Flat path to front door"",""Well-lit path to entrance"",""Step-free access"",""Wide doorway"",""Wide clearance to bed"",""Step-free access"",""Wide entryway"",Other}",$333.00,$500.00,$200.00,5,$50.00,4,380,6,76.0,8.0,7.0,9.0,10.0,9.0,7.0,f,f,strict_14_with_grace_period,2018,7
,,,f,2.0,-22.924105076308205,-43.17463149895663,Apartment,Entire home/apt,4,2.0,3.0,3.0,Real Bed,"{Wifi,Kitchen,""Free parking on premises"",""First aid kit"",""Fire extinguisher"",Essentials,""Lock on bedroom door"",""Laptop friendly workspace""}",$151.00,,,1,$0.00,1,1125,0,,,,,,,,f,f,flexible,2018,7
,within a few hours,100%,t,1.0,-22.974237779015155,-43.18792200143999,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Hot water"",""Long term stays allowed""}",$139.00,,$170.00,1,$0.00,2,50,180,94.0,10.0,9.0,10.0,10.0,10.0,9.0,f,f,strict_14_with_grace_period,2018,7
,within an hour,100%,t,1.0,-22.98619649385698,-43.19862431018172,Apartment,Entire home/apt,4,2.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Window guards"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Wide hallway clearance"",""Step-free access"",""Flat path to front door"",""Well-lit path to entrance"",""Step-free access"",""Step-free access"",""Wide doorway"",""Step-free access"",""Wide entryway""}",$465.00,$2,262.00,$452.00,1,$0.00,1,365,36,99.0,10.0,10.0,10.0,10.0,10.0,9.0,t,f,strict_14_with_grace_period,2018
,,,f,7.0,-22.95528821639292,-43.20008966538683,Apartment,Private room,4,1.0,1.0,2.0,Real Bed,"{""Cable TV"",Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Doorman,Gym,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,""Fire extinguisher""}",$391.00,,,1,$0.00,5,1125,0,,,,,,,,f,f,flexible,2018,7
,,,f,7.0,-22.95976294999842,-43.20185766544733,Apartment,Private room,1,1.0,1.0,2.0,Real Bed,{},$488.00,,,1,$0.00,5,30,0,,,,,,,,f,f,flexible,2018,7
,within a day,100%,f,2.0,-22.94475397982131,-43.1824441767315,Apartment,Private room,2,2.0,1.0,1.0,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""Suitable for events""}",$132.00,,$150.00,2,$60.00,3,30,15,94.0,10.0,10.0,10.0,10.0,10.0,9.0,t,f,strict_14_with_grace_period,2018,7
,within a few hours,100%,f,3.0,-22.985778533575157,-43.22261417621065,Apartment,Entire home/apt,9,4.0,3.0,9.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Hot tub"",""Buzzer/wireless intercom"",""Family/kid friendly"",""Fire extinguisher""}",$701.00,$1,500.00,$200.00,8,$50.00,2,1125,42,76.0,7.0,7.0,9.0,9.0,10.0,8.0,f,f,strict_14_with_grace_period,2018
,within a day,100%,f,1.0,-22.97644149227863,-43.18954097175256,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove}",$287.00,$1,000.00,$100.00,4,$0.00,3,1125,24,94.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,strict_14_with_grace_period,2018
,within a day,100%,f,1.0,-22.970492442299108,-43.35751947164631,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Gym,Elevator,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private living room"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Cleaning before checkout"",""Wide hallway clearance"",""Step-free access"",""Wide doorway"",""Flat path to front door"",""Well-lit path to entrance"",""Disabled parking spot"",""Step-free access"",""Wide doorway"",""Wide clearance to bed"",""Accessible-height bed"",""Step-free access"",""Accessible-height toilet"",""Wide clearance to shower, toilet"",""Step-free access"",""Wide entryway"",""Host greets you"",Waterfront,""Lake access"",""Handheld shower head""}",$465.00,$1,937.00,$213.00,2,$213.00,1,90,11,95.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,moderate,2018
,,,f,1.0,-22.92121418194253,-43.23900118704684,Apartment,Entire home/apt,4,1.5,2.0,4.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer}",$581.00,,$77.00,3,$387.00,1,1825,0,,,,,,,,f,f,strict_14_with_grace_period,2018,7
,within a day,100%,f,8.0,-22.997594814089503,-43.38347071282868,House,Shared room,10,3.0,1.0,10.0,Real Bed,"{Wifi,Kitchen,""Free parking on premises"",Breakfast,""Suitable for events""}",$74.00,,,1,$65.00,2,1125,6,87.0,9.0,8.0,10.0,10.0,10.0,9.0,f,f,strict_14_with_grace_period,2018,7
,within an hour,100%,t,1.0,-22.98700369007872,-43.19664947414503,Serviced apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Pool,Kitchen,""Free parking on premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Babysitter recommendations"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed""}",$407.00,$969.00,$155.00,2,$155.00,2,90,167,94.0,9.0,9.0,10.0,10.0,10.0,9.0,t,f,strict_14_with_grace_period,2018,7
,within a day,100%,f,8.0,-22.99912335204153,-43.38456974913384,House,Shared room,12,3.0,1.0,12.0,Real Bed,"{Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Breakfast}",$74.00,,,1,$65.00,2,1125,2,100.0,10.0,9.0,10.0,10.0,10.0,10.0,f,f,strict_14_with_grace_period,2018,7
,within a day,100%,f,8.0,-22.997916149193944,-43.383610340058624,House,Shared room,5,3.0,1.0,1.0,Real Bed,"{Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Breakfast}",$74.00,,,1,$65.00,2,1125,5,88.0,10.0,9.0,10.0,10.0,10.0,10.0,f,f,strict_14_with_grace_period,2018,7
,within a day,75%,f,3.0,-22.92955498663364,-43.19463965569173,House,Private room,1,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Free parking on premises"",""Smoking allowed"",""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Lock on bedroom door"",""24-hour check-in"",Hangers,Iron,""Laptop friendly workspace""}",$54.00,,,1,$25.00,2,1125,75,95.0,9.0,9.0,10.0,10.0,9.0,10.0,f,f,flexible,2018,7
,within a day,100%,f,8.0,-22.999014830738783,-43.382769225173526,House,Shared room,1,3.0,1.0,1.0,Real Bed,"{Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Breakfast,""Suitable for events"",Essentials}",$74.00,,,1,$65.00,2,1125,4,100.0,8.0,8.0,10.0,10.0,8.0,9.0,f,f,strict_14_with_grace_period,2018,7
,within a few hours,100%,f,14.0,-22.981482659186906,-43.217574268811184,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,"{""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Doorman,Gym,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed""}",$353.00,$0.00,$120.00,2,$0.00,3,365,2,70.0,9.0,7.0,7.0,8.0,9.0,8.0,f,f,strict_14_with_grace_period,2018,7
,within a few hours,100%,f,4.0,-22.968064019054616,-43.185613498671245,Apartment,Entire home/apt,8,2.0,4.0,8.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Pets allowed"",Elevator,""Family/kid friendly"",Washer,Essentials,Shampoo,""24-hour check-in"",""Hair dryer"",Iron}",$899.00,$400.00,$150.00,5,$250.00,1,1125,1,80.0,8.0,8.0,10.0,10.0,10.0,8.0,f,f,strict_14_with_grace_period,2018,7
,,,f,1.0,-22.959591012981907,-43.206120862391394,Apartment,Entire home/apt,4,3.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Doorman,Elevator,Washer}",$1,162.00,,,1,$0.00,7,1125,0,,,,,,,,f,f,strict_14_with_grace_period,2018
,within a day,100%,f,1.0,-22.99023329238672,-43.35242053173522,Apartment,Entire home/apt,4,2.0,2.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Pool,Kitchen,""Free parking on premises"",""Smoking allowed"",Doorman,Gym,Elevator,""Hot tub"",""Buzzer/wireless intercom"",""Family/kid friendly"",""Suitable for events"",Washer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,Iron,""Laptop friendly workspace""}",$1,356.00,,,1,$0.00,1,1125,5,90.0,10.0,7.0,10.0,10.0,10.0,9.0,t,f,strict_14_with_grace_period,2018
,,,f,2.0,-22.97298895259257,-43.19364403847008,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Smoking allowed"",Elevator,""Family/kid friendly""}",$201.00,$1,000.00,$200.00,1,$100.00,1,365,7,97.0,10.0,10.0,10.0,10.0,10.0,9.0,f,f,strict_14_with_grace_period,2018
,within an hour,100%,f,3.0,-22.943283925318617,-43.20431177166325,House,Entire home/apt,3,1.0,1.0,2.0,Real Bed,"{Internet,Wifi,Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets live on this property"",Dog(s),""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",""Laptop friendly workspace"",""Hot water"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Garden or backyard"",""Luggage dropoff allowed"",""Host greets you""}",$221.00,,$100.00,2,$100.00,3,60,34,93.0,9.0,9.0,10.0,10.0,9.0,9.0,f,f,strict_14_with_grace_period,2018,7
